Landroid/os/Parcel;->createTypedArrayList(Landroid/os/Parcelable$Creator;)Ljava/util/ArrayList;,Landroid/content/pm/PackageInstaller;->getAllSessions()Ljava/util/List;,class
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,1,0
0,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
0,0,0
1,1,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,1,0
0,0,0
0,0,0
1,0,0
1,1,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
0,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,1,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,0,0
0,0,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
